127.0.0.1 - - [02/Feb/2025:11:11:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:11:35 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:11:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:11:59 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:12:17 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:12:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:12:29 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:12:30 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:12:30 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:12:30 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:12:30 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:12:30 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:12:30 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:12:31 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:12:35 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:13:03 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 500 2296
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:17:39 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 500 173
0:0:0:0:0:0:0:1 - - [02/Feb/2025:11:20:39 +0530] "GET /11-ErrorHandling-App/ HTTP/1.1" 200 169
